"","STATE","CA","COND","MG","Sodium","ANC","CL","NH4","NO3","NTL","PTL"
"180","WA",414.5,66.51,136.3,90.3,508.4,7.3,0.1,3.6,84,4
"181","WA",136.1,58.5,400.7,43.7,623.1,13,0.4,1.4,38,0
"182","WA",214.1,85.3,605.6,42.1,801.7,22.8,0.4,0,45,1
"183","WA",168.2,33.24,57.3,68,275.4,12.4,0.4,0,45,2
"184","WA",424.6,66.43,150.4,97,553.5,45.4,0.4,2.9,79,3
"185","WA",402,61.14,83.4,129.2,603,13,0.4,1.4,35,2
"186","WA",362.8,76.14,146.3,183.8,504.4,120.7,0.8,5,100,7
"187","WA",439.8,91.66,308.1,132.8,885.6,18.3,0.5,3.6,79,56
"188","WA",413.9,67.87,82.5,170.2,703.1,14.4,0.2,0,28,9
"189","WA",219.8,49.83,75.5,156.8,260.6,83.2,0.9,5.7,80,5
"190","ID",838,102.8,114.3,55.7,975.6,7.1,0.6,11.4,213,1
"191","ID",285.7,49.6,67.3,139.1,432.8,6.8,0.2,0,49,7
"192","ID",316.5,62.5,180.6,46.5,495.1,7.9,0.3,2.1,39,1
"193","ID",344.4,48.97,40.9,81.7,444.8,4.8,0.3,5.7,139,5
"194","ID",101,19.64,26.2,38.9,93.9,6.2,0.4,24.3,399,1
"195","ID",882.8,229,176.9,1199.9,1626.8,66.6,0.2,2.1,69,6
"196","ID",120.9,30.24,123.5,57.6,269.6,8.2,0.4,0,60,11
"197","ID",1454.9,199.3,358.5,180.1,1719.7,16.9,0,13.6,214,19
"198","ID",96.9,23.88,38.6,77.2,207.4,7.3,0.2,0,81,11
"199","ID",91.3,18.29,71.3,17.9,153,6.5,0.4,2.9,68,17
"200","ID",667.7,98.38,132.6,192.6,982,14.4,0.2,2.9,98,14
"201","ID",979.9,161.7,327.7,330,1373.4,56.4,0.4,0,150,10
"202","ID",528.2,70.65,96.9,139.7,679.3,14.9,0.6,4.3,173,5
"203","OR",393.8,88.68,248.7,241.8,757.1,57.8,3.4,15.7,464,67
"204","OR",285.5,61,102.9,205,409.4,120.4,1.2,5,153,12
"205","OR",145.2,45.07,82.7,176.6,258.1,77,0.9,10.7,250,9
"206","OR",333.7,63.71,155.5,146.5,621,9.9,0.2,0,35,23
"207","OR",164.7,48.02,96.6,177,309.1,79.5,0.6,11.4,228,9
"208","OR",192,70.03,177.1,231.8,575,24.5,0.6,2.9,163,50
"209","OR",3852.8,517,950.8,772,3488.4,87.7,0.6,22.1,520,88
"210","OR",1783.7,274.6,906.8,258.8,2791.4,23.7,0.4,2.9,250,26
"211","OR",272,58,174.3,122.3,552.2,11.8,0.4,0,25,34
"212","OR",1211,295.6,935.2,949.6,2935.4,83.5,0.6,2.1,303,18
"213","OR",4626.8,608.1,752.7,411,4881.8,75,0.5,2.1,105,5
"214","OR",2111.4,394,910,1330.1,4058.6,107.2,0.2,0,125,22
"215","OR",161.9,38.91,111.7,99.4,354.8,21.4,0.2,0,74,4
"216","OR",297.8,75.78,227.1,168.4,727,11.8,0.4,0,39,37
"217","OR",406.5,101.5,342.9,181.3,884.1,33.3,0.4,2.9,63,6
"218","OR",1607.7,292.3,624.6,910.2,2915.3,136,1.2,2.1,339,100
"219","OR",305.5,74.57,225.6,166.3,727,12.1,0.4,0,46,35
"220","OR",1279.2,291.4,1024.4,723.2,2939.7,116.5,0.8,2.9,164,63
"221","ID",465.9,102.6,310.1,203.4,1013.4,10.4,0.6,0,185,49
"222","OR",1302,295.3,1034.4,687.3,2731.8,154.6,0.9,27.1,570,43
"223","OR",608.2,135.3,344.4,377.5,1365.9,22.6,0.6,2.1,200,42
"224","OR",1045.7,188,402.6,560.9,2034.7,28.2,0.3,0,79,17
"225","OR",365.8,119.3,195.8,446.6,1111.2,57.5,0.8,11.4,269,57
"226","OR",1108.4,255.6,925.3,782.7,2733,54.7,0.6,0,260,7
"227","ID",340.3,76.69,238,158.5,707.4,15.5,0.4,13.6,254,67
"228","ID",184.9,32.48,61.9,60.2,322.7,4.5,0.3,0,38,1
